GEOID,SVI,year,State
72,1,2016,Puerto Rico
01,0.7254901960784313,2016,Alabama
02,0.3529411764705882,2016,Alaska
04,0.9607843137254902,2016,Arizona
05,0.8627450980392157,2016,Arkansas
06,0.8431372549019608,2016,California
08,0.2549019607843137,2016,Colorado
10,0.2941176470588235,2016,Delaware
11,0.607843137254902,2016,District of Columbia
09,0.13725490196078427,2016,Connecticut
12,0.9411764705882353,2016,Florida
13,0.8431372549019608,2016,Georgia
16,0.6666666666666667,2016,Idaho
15,0.33333333333333337,2016,Hawaii
17,0.5294117647058824,2016,Illinois
18,0.607843137254902,2016,Indiana
19,0.0980392156862745,2016,Iowa
20,0.3921568627450981,2016,Kansas
21,0.6862745098039216,2016,Kentucky
22,0.803921568627451,2016,Louisiana
23,0.1568627450980392,2016,Maine
24,0.23529411764705888,2016,Maryland
25,0.23529411764705888,2016,Massachusetts
26,0.5490196078431373,2016,Michigan
27,0.05882352941176472,2016,Minnesota
28,0.8823529411764706,2017,Mississippi
29,0.4901960784313726,2017,Missouri
30,0.196078431372549,2017,Montana
31,0.2941176470588235,2017,Nebraska
32,0.9019607843137255,2017,Nevada
33,0,2017,New Hampshire
34,0.47058823529411764,2017,New Jersey
35,0.9803921568627451,2017,New Mexico
01,0.7254901960784313,2017,Alabama
02,0.4509803921568627,2017,Alaska
04,0.9607843137254902,2017,Arizona
05,0.8627450980392157,2017,Arkansas
06,0.803921568627451,2017,California
36,0.6862745098039216,2017,New York
37,0.7647058823529411,2017,North Carolina
38,0.019607843137254943,2017,North Dakota
39,0.3921568627450981,2017,Ohio
40,0.7843137254901961,2017,Oklahoma
41,0.6274509803921569,2017,Oregon
42,0.33333333333333337,2017,Pennsylvania
44,0.5294117647058824,2017,Rhode Island
45,0.7450980392156863,2017,South Carolina
46,0.3529411764705882,2017,South Dakota
47,0.6470588235294117,2017,Tennessee
48,0.9411764705882353,2017,Texas
50,0.039215686274509776,2017,Vermont
49,0.43137254901960786,2017,Utah
51,0.23529411764705888,2017,Virginia
53,0.37254901960784315,2017,Washington
54,0.607843137254902,2017,West Virginia
55,0.0980392156862745,2017,Wisconsin
56,0.07843137254901966,2017,Wyoming
72,1,2017,Puerto Rico
10,0.27450980392156865,2017,Delaware
11,0.5686274509803921,2017,District of Columbia
09,0.196078431372549,2017,Connecticut
12,0.9215686274509804,2017,Florida
13,0.8235294117647058,2017,Georgia
16,0.6666666666666667,2017,Idaho
15,0.3137254901960784,2017,Hawaii
17,0.5490196078431373,2017,Illinois
18,0.5882352941176471,2017,Indiana
19,0.11764705882352944,2017,Iowa
20,0.4117647058823529,2017,Kansas
21,0.7058823529411764,2017,Kentucky
22,0.8431372549019608,2017,Louisiana
23,0.13725490196078427,2017,Maine
24,0.21568627450980393,2017,Maryland
25,0.1568627450980392,2017,Massachusetts
26,0.5294117647058824,2017,Michigan
27,0.05882352941176472,2017,Minnesota
08,0.2549019607843137,2017,Colorado
28,0.9019607843137255,2018,Mississippi
29,0.4901960784313726,2018,Missouri
30,0.17647058823529416,2018,Montana
31,0.27450980392156865,2018,Nebraska
32,0.8627450980392157,2018,Nevada
33,0,2018,New Hampshire
34,0.4117647058823529,2018,New Jersey
35,0.9803921568627451,2018,New Mexico
36,0.6862745098039216,2018,New York
37,0.7647058823529411,2018,North Carolina
38,0.039215686274509776,2018,North Dakota
39,0.4509803921568627,2018,Ohio
40,0.8235294117647058,2018,Oklahoma
41,0.6274509803921569,2018,Oregon
42,0.3529411764705882,2018,Pennsylvania
44,0.4901960784313726,2018,Rhode Island
45,0.7254901960784313,2018,South Carolina
46,0.37254901960784315,2018,South Dakota
47,0.7058823529411764,2018,Tennessee
48,0.9411764705882353,2018,Texas
50,0.019607843137254943,2018,Vermont
49,0.43137254901960786,2018,Utah
51,0.23529411764705888,2018,Virginia
53,0.2941176470588235,2018,Washington
54,0.607843137254902,2018,West Virginia
55,0.07843137254901966,2018,Wisconsin
56,0.1568627450980392,2018,Wyoming
72,1,2018,Puerto Rico
01,0.7450980392156863,2018,Alabama
02,0.5294117647058824,2018,Alaska
04,0.9803921568627451,2018,Arizona
05,0.8431372549019608,2018,Arkansas
06,0.7843137254901961,2018,California
08,0.21568627450980393,2018,Colorado
10,0.33333333333333337,2018,Delaware
11,0.5686274509803921,2018,District of Columbia
09,0.196078431372549,2018,Connecticut
12,0.9215686274509804,2018,Florida
13,0.803921568627451,2018,Georgia
16,0.6470588235294117,2018,Idaho
15,0.3137254901960784,2018,Hawaii
17,0.5490196078431373,2018,Illinois
18,0.5882352941176471,2018,Indiana
19,0.0980392156862745,2018,Iowa
20,0.3921568627450981,2018,Kansas
21,0.6862745098039216,2018,Kentucky
22,0.8823529411764706,2018,Louisiana
23,0.11764705882352944,2018,Maine
24,0.2549019607843137,2018,Maryland
25,0.1568627450980392,2018,Massachusetts
26,0.5098039215686274,2018,Michigan
27,0.05882352941176472,2018,Minnesota
01,0.7450980392156863,2019,Alabama
02,0.5882352941176471,2019,Alaska
04,0.9607843137254902,2019,Arizona
05,0.8627450980392157,2019,Arkansas
06,0.7843137254901961,2019,California
08,0.17647058823529416,2019,Colorado
10,0.3529411764705882,2019,Delaware
11,0.5686274509803921,2019,District of Columbia
09,0.196078431372549,2019,Connecticut
12,0.9215686274509804,2019,Florida
13,0.803921568627451,2019,Georgia
16,0.6274509803921569,2019,Idaho
15,0.3137254901960784,2019,Hawaii
17,0.5686274509803921,2019,Illinois
18,0.5098039215686274,2019,Indiana
19,0.1568627450980392,2019,Iowa
20,0.4509803921568627,2019,Kansas
21,0.7058823529411764,2019,Kentucky
22,0.8823529411764706,2019,Louisiana
23,0.0980392156862745,2019,Maine
24,0.27450980392156865,2019,Maryland
25,0.13725490196078427,2019,Massachusetts
26,0.4901960784313726,2019,Michigan
27,0.05882352941176472,2019,Minnesota
28,0.9019607843137255,2019,Mississippi
29,0.5294117647058824,2019,Missouri
30,0.11764705882352944,2019,Montana
31,0.27450980392156865,2019,Nebraska
32,0.8431372549019608,2019,Nevada
33,0,2019,New Hampshire
34,0.4117647058823529,2019,New Jersey
35,0.9803921568627451,2019,New Mexico
36,0.6666666666666667,2019,New York
37,0.7647058823529411,2019,North Carolina
38,0.07843137254901966,2019,North Dakota
39,0.47058823529411764,2019,Ohio
40,0.8235294117647058,2019,Oklahoma
41,0.6470588235294117,2019,Oregon
42,0.33333333333333337,2019,Pennsylvania
44,0.3921568627450981,2019,Rhode Island
45,0.7254901960784313,2019,South Carolina
46,0.4509803921568627,2019,South Dakota
47,0.6862745098039216,2019,Tennessee
48,0.9411764705882353,2019,Texas
50,0.019607843137254943,2019,Vermont
49,0.3921568627450981,2019,Utah
51,0.23529411764705888,2019,Virginia
53,0.2941176470588235,2019,Washington
54,0.607843137254902,2019,West Virginia
55,0.039215686274509776,2019,Wisconsin
56,0.21568627450980393,2019,Wyoming
72,1,2019,Puerto Rico
42,0.3529411764705882,2020,Pennsylvania
06,0.7843137254901961,2020,California
54,0.607843137254902,2020,West Virginia
49,0.33333333333333337,2020,Utah
36,0.7254901960784313,2020,New York
11,0.5098039215686274,2020,District of Columbia
02,0.5882352941176471,2020,Alaska
12,0.9215686274509804,2020,Florida
45,0.7450980392156863,2020,South Carolina
38,0.11764705882352944,2020,North Dakota
23,0.07843137254901966,2020,Maine
13,0.803921568627451,2020,Georgia
01,0.7058823529411764,2020,Alabama
33,0,2020,New Hampshire
41,0.6470588235294117,2020,Oregon
56,0.13725490196078427,2020,Wyoming
04,0.9411764705882353,2020,Arizona
22,0.8823529411764706,2020,Louisiana
18,0.5686274509803921,2020,Indiana
16,0.6274509803921569,2020,Idaho
09,0.21568627450980393,2020,Connecticut
15,0.3137254901960784,2020,Hawaii
17,0.5490196078431373,2020,Illinois
25,0.196078431372549,2020,Massachusetts
48,0.9607843137254902,2020,Texas
30,0.0980392156862745,2020,Montana
31,0.27450980392156865,2020,Nebraska
39,0.43137254901960786,2020,Ohio
08,0.17647058823529416,2020,Colorado
34,0.4117647058823529,2020,New Jersey
24,0.2549019607843137,2020,Maryland
51,0.23529411764705888,2020,Virginia
50,0.019607843137254943,2020,Vermont
37,0.7647058823529411,2020,North Carolina
05,0.8823529411764706,2020,Arkansas
53,0.2941176470588235,2020,Washington
20,0.3921568627450981,2020,Kansas
40,0.8235294117647058,2020,Oklahoma
55,0.039215686274509776,2020,Wisconsin
28,0.9019607843137255,2020,Mississippi
29,0.4901960784313726,2020,Missouri
26,0.37254901960784315,2020,Michigan
44,0.47058823529411764,2020,Rhode Island
27,0.05882352941176472,2020,Minnesota
19,0.1568627450980392,2020,Iowa
35,0.9803921568627451,2020,New Mexico
32,0.8823529411764706,2020,Nevada
10,0.5294117647058824,2020,Delaware
72,1,2020,Puerto Rico
21,0.7058823529411764,2020,Kentucky
46,0.4509803921568627,2020,South Dakota
47,0.6666666666666667,2020,Tennessee
01,0.6666666666666667,2021,Alabama
02,0.5882352941176471,2021,Alaska
04,0.9411764705882353,2021,Arizona
05,0.8627450980392157,2021,Arkansas
06,0.7843137254901961,2021,California
08,0.1568627450980392,2021,Colorado
09,0.21568627450980393,2021,Connecticut
10,0.4901960784313726,2021,Delaware
11,0.4901960784313726,2021,District of Columbia
12,0.9215686274509804,2021,Florida
13,0.803921568627451,2021,Georgia
15,0.33333333333333337,2021,Hawaii
16,0.607843137254902,2021,Idaho
17,0.5490196078431373,2021,Illinois
18,0.5686274509803921,2021,Indiana
19,0.11764705882352944,2021,Iowa
20,0.43137254901960786,2021,Kansas
21,0.7058823529411764,2021,Kentucky
22,0.8431372549019608,2021,Louisiana
23,0.07843137254901966,2021,Maine
24,0.2549019607843137,2021,Maryland
25,0.196078431372549,2021,Massachusetts
26,0.37254901960784315,2021,Michigan
27,0.05882352941176472,2021,Minnesota
28,0.9215686274509804,2021,Mississippi
29,0.5098039215686274,2021,Missouri
30,0.0980392156862745,2021,Montana
31,0.27450980392156865,2021,Nebraska
32,0.8823529411764706,2021,Nevada
33,0,2021,New Hampshire
34,0.5294117647058824,2021,New Jersey
35,0.9803921568627451,2021,New Mexico
36,0.7647058823529411,2021,New York
37,0.7450980392156863,2021,North Carolina
38,0.17647058823529416,2021,North Dakota
39,0.3921568627450981,2021,Ohio
40,0.8235294117647058,2021,Oklahoma
41,0.6470588235294117,2021,Oregon
42,0.3529411764705882,2021,Pennsylvania
44,0.4901960784313726,2021,Rhode Island
45,0.7254901960784313,2021,South Carolina
46,0.4117647058823529,2021,South Dakota
47,0.7058823529411764,2021,Tennessee
48,0.9607843137254902,2021,Texas
49,0.3137254901960784,2021,Utah
50,0.019607843137254943,2021,Vermont
51,0.23529411764705888,2021,Virginia
53,0.2941176470588235,2021,Washington
54,0.6274509803921569,2021,West Virginia
55,0.039215686274509776,2021,Wisconsin
56,0.13725490196078427,2021,Wyoming
72,1,2021,Puerto Rico
01,0.7058823529411764,2022,Alabama
02,0.5882352941176471,2022,Alaska
04,0.9411764705882353,2022,Arizona
05,0.8431372549019608,2022,Arkansas
06,0.7843137254901961,2022,California
08,0.13725490196078427,2022,Colorado
09,0.196078431372549,2022,Connecticut
10,0.5490196078431373,2022,Delaware
11,0.43137254901960786,2022,District of Columbia
12,0.9019607843137255,2022,Florida
13,0.803921568627451,2022,Georgia
15,0.3529411764705882,2022,Hawaii
16,0.607843137254902,2022,Idaho
17,0.5490196078431373,2022,Illinois
18,0.5098039215686274,2022,Indiana
19,0.1568627450980392,2022,Iowa
20,0.4509803921568627,2022,Kansas
21,0.7450980392156863,2022,Kentucky
22,0.8627450980392157,2022,Louisiana
23,0.05882352941176472,2022,Maine
24,0.2941176470588235,2022,Maryland
25,0.2549019607843137,2022,Massachusetts
26,0.33333333333333337,2022,Michigan
27,0.07843137254901966,2022,Minnesota
28,0.9215686274509804,2022,Mississippi
29,0.5098039215686274,2022,Missouri
30,0.0980392156862745,2022,Montana
31,0.2549019607843137,2022,Nebraska
32,0.9019607843137255,2022,Nevada
33,0,2022,New Hampshire
34,0.5686274509803921,2022,New Jersey
35,1,2022,New Mexico
36,0.7647058823529411,2022,New York
37,0.7254901960784313,2022,North Carolina
38,0.17647058823529416,2022,North Dakota
39,0.43137254901960786,2022,Ohio
40,0.8235294117647058,2022,Oklahoma
41,0.6666666666666667,2022,Oregon
42,0.37254901960784315,2022,Pennsylvania
44,0.47058823529411764,2022,Rhode Island
45,0.7058823529411764,2022,South Carolina
46,0.43137254901960786,2022,South Dakota
47,0.6666666666666667,2022,Tennessee
48,0.9607843137254902,2022,Texas
49,0.3137254901960784,2022,Utah
50,0.019607843137254943,2022,Vermont
51,0.21568627450980393,2022,Virginia
53,0.27450980392156865,2022,Washington
54,0.6274509803921569,2022,West Virginia
55,0.039215686274509776,2022,Wisconsin
56,0.11764705882352944,2022,Wyoming
72,0.9803921568627451,2022,Puerto Rico
01,0.6274509803921569,2023,Alabama
02,0.5882352941176471,2023,Alaska
04,0.9411764705882353,2023,Arizona
05,0.8823529411764706,2023,Arkansas
06,0.7843137254901961,2023,California
08,0.11764705882352944,2023,Colorado
09,0.23529411764705888,2023,Connecticut
10,0.4117647058823529,2023,Delaware
11,0.43137254901960786,2023,District of Columbia
12,0.8235294117647058,2023,Florida
13,0.803921568627451,2023,Georgia
15,0.37254901960784315,2023,Hawaii
16,0.5686274509803921,2023,Idaho
17,0.607843137254902,2023,Illinois
18,0.5294117647058824,2023,Indiana
19,0.1568627450980392,2023,Iowa
20,0.4509803921568627,2023,Kansas
21,0.7450980392156863,2023,Kentucky
22,0.9215686274509804,2023,Louisiana
23,0.05882352941176472,2023,Maine
24,0.2941176470588235,2023,Maryland
25,0.21568627450980393,2023,Massachusetts
26,0.33333333333333337,2023,Michigan
27,0.07843137254901966,2023,Minnesota
28,0.9019607843137255,2023,Mississippi
29,0.47058823529411764,2023,Missouri
30,0.0980392156862745,2023,Montana
31,0.27450980392156865,2023,Nebraska
32,0.8823529411764706,2023,Nevada
33,0,2023,New Hampshire
34,0.5686274509803921,2023,New Jersey
35,1,2023,New Mexico
36,0.7647058823529411,2023,New York
37,0.6666666666666667,2023,North Carolina
38,0.13725490196078427,2023,North Dakota
39,0.4901960784313726,2023,Ohio
40,0.8823529411764706,2023,Oklahoma
41,0.6862745098039216,2023,Oregon
42,0.3529411764705882,2023,Pennsylvania
44,0.5098039215686274,2023,Rhode Island
45,0.7058823529411764,2023,South Carolina
46,0.3921568627450981,2023,South Dakota
47,0.7254901960784313,2023,Tennessee
48,1,2023,Texas
49,0.3137254901960784,2023,Utah
50,0.019607843137254943,2023,Vermont
51,0.196078431372549,2023,Virginia
53,0.27450980392156865,2023,Washington
54,0.6470588235294117,2023,West Virginia
55,0.039215686274509776,2023,Wisconsin
56,0.17647058823529416,2023,Wyoming
72,1,2023,Puerto Rico
01,0.6862745098039216,2024,Alabama
02,0.607843137254902,2024,Alaska
04,0.8627450980392157,2024,Arizona
05,0.8431372549019608,2024,Arkansas
06,0.7647058823529411,2024,California
08,0.11764705882352944,2024,Colorado
09,0.2941176470588235,2024,Connecticut
10,0.43137254901960786,2024,Delaware
11,0.4117647058823529,2024,District of Columbia
12,0.9411764705882353,2024,Florida
13,0.803921568627451,2024,Georgia
15,0.3921568627450981,2024,Hawaii
16,0.5294117647058824,2024,Idaho
17,0.6470588235294117,2024,Illinois
18,0.607843137254902,2024,Indiana
19,0.1568627450980392,2024,Iowa
20,0.37254901960784315,2024,Kansas
21,0.7450980392156863,2024,Kentucky
22,0.9411764705882353,2024,Louisiana
23,0.039215686274509776,2024,Maine
24,0.27450980392156865,2024,Maryland
25,0.23529411764705888,2024,Massachusetts
26,0.37254901960784315,2024,Michigan
27,0.0980392156862745,2024,Minnesota
28,0.8235294117647058,2024,Mississippi
29,0.47058823529411764,2024,Missouri
30,0.07843137254901966,2024,Montana
31,0.21568627450980393,2024,Nebraska
32,0.8823529411764706,2024,Nevada
33,0.019607843137254943,2024,New Hampshire
34,0.5098039215686274,2024,New Jersey
35,0.9803921568627451,2024,New Mexico
36,0.7843137254901961,2024,New York
37,0.607843137254902,2024,North Carolina
38,0.17647058823529416,2024,North Dakota
39,0.4901960784313726,2024,Ohio
40,0.9411764705882353,2024,Oklahoma
41,0.6666666666666667,2024,Oregon
42,0.33333333333333337,2024,Pennsylvania
44,0.5490196078431373,2024,Rhode Island
45,0.7254901960784313,2024,South Carolina
46,0.47058823529411764,2024,South Dakota
47,0.7058823529411764,2024,Tennessee
48,1,2024,Texas
49,0.3137254901960784,2024,Utah
50,0,2024,Vermont
51,0.196078431372549,2024,Virginia
53,0.2549019607843137,2024,Washington
54,0.6274509803921569,2024,West Virginia
55,0.05882352941176472,2024,Wisconsin
56,0.13725490196078427,2024,Wyoming
72,0.9803921568627451,2024,Puerto Rico
